,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000113739.10,977.4630939,1.409061189,0.159083884,8.857347185,8.19E-19,4.78E-18
ENSG00000113805.8,839.2456267,1.777154625,0.164370186,10.81190372,3.02E-27,2.93E-26
ENSG00000114019.15,6429.51892,1.158245674,0.085085501,13.61272668,3.36E-42,6.91E-41
ENSG00000114739.14,1850.96415,1.102951301,0.059925512,18.4053712,1.19E-75,9.52E-74
ENSG00000115041.13,5075.318079,1.20025913,0.104719737,11.4616324,2.06E-30,2.36E-29
ENSG00000115353.11,606.2613215,2.281403368,0.173348611,13.16078249,1.48E-39,2.69E-38
ENSG00000116031.9,33.14206918,1.185826829,0.144394734,8.212396638,2.17E-16,1.08E-15
ENSG00000116035.4,607.9404453,1.569109032,0.115349228,13.60311692,3.84E-42,7.87E-41
ENSG00000116147.17,46451.76316,1.507793445,0.13303989,11.33339363,8.97E-30,9.89E-29
ENSG00000116852.15,8753.890631,1.193115464,0.09200715,12.96763853,1.87E-38,3.17E-37
ENSG00000116990.11,975.9489123,1.383365114,0.106831385,12.94905157,2.38E-38,4.01E-37
