"","ENSG00000277655.1","ENSG00000237187.9","ENSG00000146278.11","ENSG00000260851.7","ENSG00000262663.1","ENSG00000188585.9","ENSG00000138646.9","ENSG00000243316.7","ENSG00000148400.12","ENSG00000236712.1","ENSG00000286951.1","ENSG00000278395.1","ENSG00000275088.1","ENSG00000259130.2","ENSG00000277972.2","ENSG00000173930.9","ENSG00000251977.1","ENSG00000229169.1","ENSG00000254398.1","ENSG00000252651.1","ENSG00000214245.3","ENSG00000271803.1","ENSG00000267116.1","ENSG00000164070.12","ENSG00000236733.1","ENSG00000244255.5","ENSG00000168724.17","ENSG00000277391.1","ENSG00000184575.12","ENSG00000149451.18","ENSG00000233357.2","ENSG00000262730.1","ENSG00000223315.1","ENSG00000005486.17","ENSG00000159409.15","ENSG00000254820.1","ENSG00000243849.2","ENSG00000127241.18","ENSG00000204780.5","ENSG00000001626.16","ENSG00000265144.1","ENSG00000236797.1","ENSG00000252686.1","ENSG00000177173.5","ENSG00000224634.1","ENSG00000265014.1","ENSG00000006638.13","ENSG00000278497.1","ENSG00000230758.1","ENSG00000239614.1"
"TCGA-E1-A7YK-01A-11R-A34F-07",1,1001,5381,2,75,0,689,0,7607,2,5,0,0,1,983,3,0,0,5,0,0,2,0,371,0,0,2326,0,4147,216,0,0,0,8386,731,0,2,3985,0,182,0,1,0,3,0,0,143,0,0,2
"TCGA-HT-7611-01A-11R-2403-07",0,3186,3150,6,7,0,1334,0,24985,0,0,0,5,10,914,3,0,0,4,0,0,0,0,880,0,0,1760,0,9659,50,0,0,0,8847,704,0,1,14259,0,143,0,1,0,0,0,0,133,0,1,0
"TCGA-HT-7877-01A-11R-2403-07",1,2657,3965,11,13,1,362,0,20048,0,1,0,18,14,829,16,0,0,4,0,0,1,0,1615,0,0,2024,0,9384,292,0,0,0,7547,7887,0,5,19625,0,280,0,0,1,0,0,0,98,0,2,0
"TCGA-HT-7856-01A-11R-2403-07",3,3219,3560,8,9,1,301,0,13394,2,2,0,17,7,1217,54,0,0,5,0,0,7,0,2680,0,0,2119,0,7455,395,0,0,0,17751,8516,0,0,5329,0,173,0,0,0,1,0,0,99,0,1,1
"TCGA-HT-A5R5-01A-11R-A28M-07",1,2398,3325,7,4,0,497,2,6372,2,0,0,14,1,712,3,0,0,0,0,0,0,0,752,0,0,1141,0,3602,69,0,0,0,12424,1665,0,1,10402,0,50,0,8,0,3,0,0,224,0,0,2
"TCGA-DU-7018-01A-11R-2027-07",0,1736,3981,4,6,1,360,0,32036,1,1,0,3,12,1278,0,0,0,1,0,0,0,0,1902,0,0,1565,0,16694,71,0,0,0,8747,6561,0,0,5198,0,340,0,3,0,0,0,0,254,0,1,1
"TCGA-DU-7019-01A-11R-2027-07",0,1580,3521,5,3,0,294,0,12845,0,0,0,3,2,684,5,0,0,0,0,0,1,0,2595,0,0,1785,0,12666,87,0,0,0,8685,1219,0,1,6509,0,107,0,0,0,2,0,0,63,0,1,0
"TCGA-HT-7474-01A-11R-2027-07",2,2844,2098,8,5,0,498,2,9766,3,3,0,17,4,993,21,0,0,4,0,0,0,0,2167,0,0,1698,0,6852,119,0,0,0,14420,4337,0,1,13208,0,157,0,2,0,2,0,0,99,0,0,0
"TCGA-P5-A77X-01A-11R-A32Q-07",0,2318,3317,12,12,0,105,0,11930,0,1,0,16,1,768,9,0,0,5,0,0,0,0,2720,1,0,1754,1,7839,134,0,0,0,9287,5036,0,3,4363,0,224,3,1,0,2,0,0,98,0,1,0
"TCGA-QH-A6CU-01A-11R-A31N-07",0,2099,3416,7,3,0,514,0,6414,0,0,0,5,11,987,0,0,0,1,0,0,0,0,408,0,0,984,0,3977,60,0,0,0,12181,886,0,9,7391,0,92,0,5,0,1,0,0,37,0,1,0
"TCGA-HW-7490-01A-11R-2027-07",0,2100,2998,2,4,1,2616,0,10024,2,0,0,5,7,866,2,0,0,0,0,0,0,0,1787,0,0,1284,0,15593,58,0,0,0,7378,394,0,2,6989,0,94,0,0,0,13,0,0,81,0,0,0
"TCGA-HT-7902-01A-12R-2403-07",1,1769,4315,11,24,3,2077,0,16592,0,0,0,5,3,1060,10,0,0,3,0,0,3,0,1104,0,0,2555,1,7454,302,0,0,0,11244,1247,0,2,11126,0,696,2,2,0,4,0,0,131,0,2,0
"TCGA-S9-A6WI-01A-21R-A33Z-07",1,3686,2699,10,5,2,256,1,4413,0,3,0,37,3,1461,48,0,0,5,0,0,2,0,2919,0,0,2126,0,4881,231,0,0,0,21302,7403,0,1,1543,0,122,0,0,0,7,0,0,116,0,0,0
"TCGA-QH-A86X-01A-11R-A36H-07",0,2404,3974,12,42,1,332,1,27746,0,3,0,9,21,838,3,0,0,5,0,0,2,0,1388,0,0,1579,0,11607,241,0,0,0,12570,8646,0,1,20622,0,501,0,2,0,5,0,0,122,0,1,0
"TCGA-HT-7473-01A-11R-2027-07",0,2580,4173,10,11,3,1319,0,12852,0,0,0,28,8,690,4,0,0,1,0,0,1,0,931,0,0,1911,0,7150,49,0,0,0,9928,463,0,3,15455,0,159,0,2,1,5,0,0,55,0,0,2
